,offer_id,offer_type,adv_id,contractCode,kunlun_code,supid,traffic,country,created,type,adv_currency,revenue,t1,t2,outcome_dollar,cost,t3,t4
106,pdw,OFLX_GA,S0223,CS2021081831,,,,PH,20230202000000,JSXMLX_1,USD,162300,0,0,,0,0,0
107,sgd,OFLX_GA,S0073,CS2022066001,,,,MY,20230202000000,JSXMLX_1,USD,8000,0,0,,0,0,0
108,obs,OFLX_GA,SD2022072896,CS2022066030,,,,IN,20230202000000,JSXMLX_1,USD,457920,0,0,,0,0,0
109,mpa,OFLX_GA,SD2022062528,CS2022055462,,,,BR,20230202000000,JSXMLX_1,USD,53400,0,0,,0,0,0
110,pie,OFLX_GA,SD2022082988,CS2022076295,,,,AE,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
111,kai,OFLX_GA,SD2022083206,CS2022087087,,,,FR,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
112,gdj,OFLX_GA,S0227,CS2021081829,112380,PCL20210109713,,TR,20230202000000,JSXMLX_1,USD,55200,0,0,USD,2090,0,0
113,gxm,OFLX_GA,S0270,CS2022024288,G103678,YMCS201809008,,TW,20230202000000,JSXMLX_1,USD,15000,0,0,USD,361,0,0
114,adb,OFLX_GA,SD2022052486,CS2022055464,,,,US,20230202000000,JSXMLX_1,USD,7000,0,0,,0,0,0
115,acb,OFLX_GA,SD2022082998,CS2022076660,,,,US,20230202000000,JSXMLX_1,USD,45000,0,0,,0,0,0
116,pap,OFLX_GA,SD2021121650,CS2021123197,,,,VN,20230202000000,JSXMLX_1,USD,25000,0,0,,0,0,0
117,adg,OFLX_GA,SD2022062524,CS2022055643,,,,IT,20230202000000,JSXMLX_1,USD,336000,0,0,,0,0,0
118,fom,OFLX_GA,SD2022062720,CS2022066024,219,PCL20210108596,,DE,20230202000000,JSXMLX_1,USD,48000,0,0,USD,226110,0,0
119,pap,OFLX_GA,SD2021121650,CS2021123197,,,,GB,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
120,ym,OFLX_GA,S0051,CS2021081797,G105214,PGZ2020070007,,PH,20230202000000,JSXMLX_1,USD,1000,0,0,CNY,8125,0,0
121,rcm,OFLX_GA,S0095,CS2022045182,,,,JP,20230202000000,JSXMLX_1,USD,1500,0,0,,0,0,0
122,mvt2,OFLX_GA,S0054,CS2022087122,G105214,PGZ2020070007,,JP,20230202000000,JSXMLX_1,USD,9000,0,0,CNY,51506,0,0
123,inm2,OFLX_GA,S0238,CS2022118352,,,,IN,20230202000000,JSXMLX_1,USD,334400,0,0,,0,0,0
124,phm,OFLX_GA,S0199,CS2022045048,,,,BR,20230202000000,JSXMLX_1,USD,333600,0,0,,0,0,0
125,ym,OFLX_GA,S0051,CS2021081797,,,,GB,20230202000000,JSXMLX_1,USD,50000,0,0,,0,0,0
126,laz,OFLX_GA,SD202107443,CS2022128804,nan,,,MY,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
127,aha,OFLX_GA,S0257,CS2022014014,112380,PCL20210109713,,ID,20230202000000,JSXMLX_1,USD,297000,0,0,USD,29700,0,0
128,pie,OFLX_GA,SD2022082988,CS2022076295,,,,GB,20230202000000,JSXMLX_1,USD,660000,0,0,,0,0,0
129,gdj,OFLX_GA,S0227,CS2021081829,,,,PH,20230202000000,JSXMLX_1,USD,3500,0,0,,0,0,0
130,gxm,OFLX_GA,S0270,CS2022024288,G103172,YMCS201709026,,ID,20230202000000,JSXMLX_1,USD,10000,0,0,USD,1100,0,0
131,lit,OFLX_GA,SD202109889,CS2021092054,,,,SA,20230202000000,JSXMLX_1,USD,194000,0,0,,0,0,0
132,n2ym,OFLX_GA,S0051,CS2021081797,,,,PH,20230202000000,JSXMLX_1,USD,2550,0,0,,0,0,0
